rows,cols,countries,individuals,user,system,elapsed,memory,elapsed_latex
1,4,4,10000,357.24,16.15,93.8,21208,$\SI{ 1}{m}~\SI{33}{s}$
1,4,4,15000,740.8,24.16,191.72,21244,$\SI{ 3}{m}~\SI{11}{s}$
1,4,4,20000,1326.02,38.66,341.77,21112,$\SI{ 5}{m}~\SI{41}{s}$
1,4,4,25000,2103.06,54.5,540.18,20872,$\SI{ 9}{m}~\SI{ 0}{s}$
1,4,4,30000,3069.91,64.19,784.54,21304,$\SI{13}{m}~\SI{ 4}{s}$
1,4,4,35000,4222.54,85.71,1078.32,20920,$\SI{17}{m}~\SI{58}{s}$
1,4,4,40000,5558.1,113.7,1419.51,21208,$\SI{23}{m}~\SI{39}{s}$
1,4,4,45000,7002.06,124.91,1783.62,23260,$\SI{29}{m}~\SI{43}{s}$
1,4,4,50000,8753.34,161.86,2231.05,21180,$\SI{37}{m}~\SI{11}{s}$
1,4,4,55000,10539.59,168.85,2679.78,21144,$\SI{44}{m}~\SI{39}{s}$
1,4,4,60000,14046.14,241.89,3575.96,21204,$\SI{59}{m}~\SI{35}{s}$
